opponents, date, year, regularSeason?, score1-score2, location(A), pace1, tSP1, eFG1, 3PA1, FTR1, ORR1, DRR1, TRR1, ASP1, STLP1, BLK1, TOR1, OEff1, DEF, pace2, tSP2, eFG2, 3PA2, FTR2, ORR2, DRR2, TRR2, ASP2, STLP2, BLK2, TOR2, OEff2
%http://www.basketball-reference.com/boxscores/201810160BOS.html
Philadelphia 76ers at Boston Celtics, October 16, 2018,regularSeason,87-105,A,104.3,0.4480,0.4200,0.2990,0.1609,12.2000,77.4000,46.1000,52.9000,7.7000,8.3000,14.1000,83.4000,MAN,104.3,0.5090,0.4900,0.3810,0.1031,22.6000,87.8000,53.9000,50.0000,6.7000,8.2000,11.9000,100.7000
%http://www.basketball-reference.com/boxscores/201810160GSW.html
Oklahoma City Thunder at Golden State Warriors, October 16, 2018,regularSeason,100-108,A,102.3,0.4660,0.4180,0.4070,0.2637,28.1000,63.0000,43.7000,63.6000,11.7000,8.7000,11.5000,97.7000,MAN,102.3,0.5250,0.4790,0.2740,0.1789,37.0000,71.9000,56.3000,66.7000,6.8000,13.0000,16.9000,105.6000
%http://www.basketball-reference.com/boxscores/201810170CHO.html
Milwaukee Bucks at Charlotte Hornets, October 17, 2018,regularSeason,113-112,A,102.6,0.6020,0.5760,0.4000,0.1765,25.6000,83.6000,58.2000,61.9000,4.9000,7.4000,18.3000,110.2000,MAN,102.6,0.5510,0.5330,0.4130,0.1522,16.4000,74.4000,41.8000,51.2000,7.8000,17.6000,9.8000,109.2000
%http://www.basketball-reference.com/boxscores/201810170DET.html
Brooklyn Nets at Detroit Pistons, October 17, 2018,regularSeason,100-103,A,100.0,0.5450,0.5180,0.3290,0.1829,13.5000,70.8000,45.9000,70.0000,9.0000,7.4000,15.6000,100.0000,MAN,100.0,0.5060,0.4570,0.2610,0.2065,29.2000,86.5000,54.1000,53.8000,5.0000,9.1000,12.1000,103.0000
%http://www.basketball-reference.com/boxscores/201810170HOU.html
New Orleans Pelicans at Houston Rockets, October 17, 2018,regularSeason,131-112,A,103.0,0.6080,0.5820,0.2550,0.1735,32.6000,83.3000,59.3000,69.2000,7.8000,6.8000,10.0000,127.2000,MAN,103.0,0.5460,0.5110,0.5220,0.1957,16.7000,67.4000,40.7000,53.8000,7.8000,9.6000,9.7000,108.8000
%http://www.basketball-reference.com/boxscores/201810170IND.html
Memphis Grizzlies at Indiana Pacers, October 17, 2018,regularSeason,83-111,A,93.5,0.4310,0.3570,0.3450,0.2738,13.7000,61.8000,32.9000,64.0000,11.8000,5.3000,6.8000,88.8000,MAN,93.5,0.6260,0.6270,0.3130,0.0843,38.2000,86.3000,67.1000,61.7000,2.1000,12.7000,18.4000,118.7000
%http://www.basketball-reference.com/boxscores/201810170LAC.html
Denver Nuggets at Los Angeles Clippers, October 17, 2018,regularSeason,107-98,A,98.9,0.5070,0.4250,0.2760,0.3793,26.9000,82.4000,54.4000,60.6000,6.1000,15.0000,8.7000,108.2000,MAN,98.9,0.4970,0.4430,0.3180,0.2273,17.6000,73.1000,45.6000,60.0000,3.0000,14.3000,10.9000,99.1000
%http://www.basketball-reference.com/boxscores/201810170NYK.html
Atlanta Hawks at New York Knicks, October 17, 2018,regularSeason,107-126,A,113.5,0.5460,0.5110,0.4000,0.1667,16.3000,79.2000,49.5000,46.3000,6.2000,4.5000,19.7000,94.3000,MAN,113.5,0.5590,0.5150,0.3330,0.2424,20.8000,83.7000,50.5000,46.7000,10.6000,11.1000,11.8000,111.0000
%http://www.basketball-reference.com/boxscores/201810170ORL.html
Miami Heat at Orlando Magic, October 17, 2018,regularSeason,101-104,A,103.5,0.4730,0.4380,0.3400,0.1649,27.5000,73.1000,50.5000,42.1000,3.9000,7.2000,13.0000,97.6000,MAN,103.5,0.4830,0.4520,0.2660,0.2021,26.9000,72.5000,49.5000,51.3000,6.8000,10.9000,10.0000,100.5000
%http://www.basketball-reference.com/boxscores/201810170PHO.html
Dallas Mavericks at Phoenix Suns, October 17, 2018,regularSeason,100-121,A,92.6,0.5170,0.4890,0.3750,0.1591,20.8000,82.4000,46.3000,73.7000,7.6000,10.6000,8.5000,108.0000,MAN,92.6,0.6870,0.6600,0.4200,0.1728,17.6000,79.2000,53.7000,79.5000,5.4000,3.6000,11.1000,130.6000
%http://www.basketball-reference.com/boxscores/201810170SAC.html
Utah Jazz at Sacramento Kings, October 17, 2018,regularSeason,123-117,A,105.7,0.6420,0.6010,0.3420,0.3544,13.5000,88.6000,54.3000,51.2000,7.6000,5.3000,15.1000,116.4000,MAN,105.7,0.5680,0.5530,0.2000,0.1263,11.4000,86.5000,45.7000,34.7000,7.6000,5.8000,8.0000,110.7000
%http://www.basketball-reference.com/boxscores/201810170SAS.html
Minnesota Timberwolves at San Antonio Spurs, October 17, 2018,regularSeason,108-112,A,95.8,0.5250,0.4620,0.2090,0.2637,29.8000,62.7000,46.9000,51.3000,9.4000,2.9000,9.7000,112.7000,MAN,95.8,0.5300,0.4890,0.2690,0.2258,37.3000,70.2000,53.1000,55.0000,3.1000,5.6000,10.2000,116.8000
%http://www.basketball-reference.com/boxscores/201810170TOR.html
Cleveland Cavaliers at Toronto Raptors, October 17, 2018,regularSeason,104-116,A,100.3,0.5090,0.4410,0.2240,0.3412,28.6000,81.4000,53.3000,50.0000,4.0000,0.0000,13.5000,103.7000,MAN,100.3,0.5750,0.5650,0.3590,0.1304,18.6000,71.4000,46.7000,46.7000,6.0000,10.6000,8.2000,115.6000
%http://www.basketball-reference.com/boxscores/201810180PHI.html
Chicago Bulls at Philadelphia 76ers, October 18, 2018,regularSeason,108-127,A,108.4,0.5080,0.4900,0.3270,0.0891,10.2000,75.6000,41.5000,63.6000,3.7000,10.5000,10.1000,99.6000,MAN,108.4,0.5980,0.5380,0.3870,0.2903,24.4000,89.8000,58.5000,68.2000,9.2000,11.8000,10.9000,117.2000
%http://www.basketball-reference.com/boxscores/201810180POR.html
Los Angeles Lakers at Portland Trail Blazers, October 18, 2018,regularSeason,119-128,A,111.3,0.5630,0.5220,0.3230,0.2366,16.7000,73.1000,46.0000,51.1000,9.0000,9.5000,12.4000,107.0000,MAN,111.3,0.5680,0.5050,0.3700,0.2700,26.9000,83.3000,54.0000,47.7000,8.1000,15.9000,12.4000,115.1000
%http://www.basketball-reference.com/boxscores/201810180WAS.html
Miami Heat at Washington Wizards, October 18, 2018,regularSeason,113-112,A,101.9,0.5050,0.4540,0.3610,0.2577,40.0000,82.5000,57.9000,65.8000,5.9000,9.1000,12.5000,110.8000,MAN,101.9,0.5700,0.5120,0.3210,0.3580,17.5000,60.0000,42.1000,50.0000,6.9000,24.2000,12.5000,109.9000
%http://www.basketball-reference.com/boxscores/201810190BRK.html
New York Knicks at Brooklyn Nets, October 19, 2018,regularSeason,105-107,A,93.8,0.4960,0.4480,0.2890,0.1856,21.8000,66.7000,39.6000,35.9000,10.7000,2.2000,2.8000,112.0000,MAN,93.8,0.6250,0.5730,0.4000,0.2800,33.3000,78.2000,60.4000,59.5000,2.1000,8.7000,20.5000,114.1000
%http://www.basketball-reference.com/boxscores/201810190LAC.html
Oklahoma City Thunder at Los Angeles Clippers, October 19, 2018,regularSeason,92-108,A,98.3,0.4380,0.3950,0.3470,0.1789,28.3000,78.7000,52.0000,52.9000,5.1000,7.3000,10.2000,93.6000,MAN,98.3,0.5580,0.5000,0.3210,0.3333,21.3000,71.7000,48.0000,60.0000,3.1000,4.8000,12.6000,109.8000
%http://www.basketball-reference.com/boxscores/201810190MEM.html
Atlanta Hawks at Memphis Grizzlies, October 19, 2018,regularSeason,117-131,A,106.0,0.5920,0.5780,0.3610,0.2530,24.4000,80.6000,49.4000,65.9000,8.5000,9.1000,16.1000,110.4000,MAN,106.0,0.6560,0.6230,0.3210,0.3704,19.4000,75.6000,50.6000,72.7000,8.5000,7.5000,13.8000,123.6000
%http://www.basketball-reference.com/boxscores/201810190MIL.html
Indiana Pacers at Milwaukee Bucks, October 19, 2018,regularSeason,101-118,A,105.0,0.5110,0.4710,0.2070,0.2184,18.8000,74.4000,45.1000,36.8000,6.7000,6.4000,14.7000,96.2000,MAN,105.0,0.5770,0.5650,0.4950,0.1398,25.6000,81.3000,54.9000,61.4000,8.6000,11.6000,14.3000,112.4000
